Sno.,Requirements,Multi_Class,NewClass
2068,product shall ensure that only company employee or external user with companyapproved user id may have product access of all logons shall be by either company employee or external user with companyapproved user id,Confidentiality,NSR
2069,only manager are able to perform search query for reservation by user of all search query for reservation by user shall be from logons of only management logons,Confidentiality,NSR
2070,product shall ensure that database data corresponds to data entered by user each conference room reservation in system will contain same information wa entered by user,Confidentiality,NSR
2071,product shall have ability to receive automatic software update new threat emerge of customer will be able to receive automatic software update transmitted to installed product,Confidentiality,NSR
2072,language of product shall accommodate all of target market country of survey respondent from each target market country will find that language of product is acceptable,Scalability,NSR
2073,product shall be able to display calendar date and time according to user locale of survey respondent from each target market country will find that date and time formatting of product is correct,Usability,NSR
2074,product must be developed with jsejee programming language library,Operational,NSR
2075,product shall record meeting entry,Functionality,NSR
2076,product will notify employee of meeting invitation,Functionality,NSR
2077,product shall have ability to send meeting reminder to employee,Functionality,NSR
2078,product shall assign organizer contact information to each meeting they create,Functionality,NSR
2079,product will record meeting acknowledgement,Functionality,NSR
2080,product shall store new conference room,Functionality,NSR
2081,product shall be translated into foreign language other than target market country language in future release for each emerging target market it shall take no more than day to configure product for that market language,Usability,NSR
2082,customer shall be able to easily integrate new building map with product throughout product lifecycle integration of new map with product shall be possible with little to no support from product support staff,Maintainability,NSR
2083,every registered user will have access to product support site via internet of registered user shall find solution to their problem within minute of using support site,Usability,NSR
2084,product shall be used in office environment,Operational,NSR
2085,product shall conform to american with disability act,Usability,NSR
2086,response shall be fast enough to avoid interrupting user flow of thought of task shall complete within second of task shall complete within second,Performance,NSR
2087,product shall create an exception log of problem encountered within product for transmission to our company for analysis and resolution,Fault Tolerance,NSR
2088,product shall be capable of handling up to concurrent request this number will increase to by release concurrency capacity must be able to handle peak scheduling time such early morning and late afternoon hour,Scalability,NSR
2089,product shall be able to process transaction per hour within two year of it launch this number will increase to by release,Scalability,NSR
2090,product shall be expected to operate for at least year for each customer installation,Scalability,NSR
2091,product must be able to interface with any html browser product shall transmit data between user and product without problem product shall display html properly in of all html browser tested minimum is to test browser,Operational,NSR
2092,product must be highly configurable for use with various database management system for end user of end user are able to integrate new database management system with product without changing product software code,Maintainability,NSR
2093,product must be able to interface with various database management system product shall communicate successfully with database management system on of all transaction,Operational,NSR
2094,product must be able to interface with various email server product shall be able to send email,Operational,NSR
2095,product shall be available for distribution via internet binary or zip file,Operational,NSR
2096,product shall be available for distribution packaged cd,Operational,NSR
2097,product will be available for licensing oneserver twofive server or fiveormore server license,Operational,NSR
2098,new user must be able to be added to system within minute of new user are able to log into system within minute,Usability,NSR
2099,estimator shall search for available recycled part using list of preferred part supplier,Functionality,NSR
2100,estimator shall search for available recycled part using damaged vehicle part information,Functionality,NSR
2101,system shall return list of repair facility within radius if preferred repair facility can not be determined,Functionality,NSR
2102,product shall comply with corporate user interface guideline,User-Friendly,NSR
2103,dispute system must provide confirmation to user upon creation of ticket retrieval request that contains following information dispute case number type of retrieval requested copy original or portfolio and date that merchant response is due,Functionality,NSR
2104,dispute system must provide confirmation to user upon creation of chargeback request confirmation must contain following information dispute case number type of chargeback requested pending or immediate and date that merchant response is due,Functionality,NSR
2105,dispute system must provide ability to view existing dispute case,Functionality,NSR
2106,dispute system must provide search functionality search method must include ability to search by dispute case number merchant account number cardmember account number and issuer number in addition to above criterion search functionality must further allow user to limit result of search by date range type of dispute ticket retrieval request or chargeback notification case status open closed or all and dispute reason code,Functionality,NSR
2107,list of all dispute case that meet entered search criterion must be provided to user list of case must differentiate type andor status of case by color coding line item in list for example all open case will be yellow and all closed case will be gray,Functionality,NSR
2108,dispute system shall provide user ability to view history of all activity that have occurred on dispute case,Functionality,NSR
2109,dispute system shall provide user with ability to follow up on dispute case via followup action list of available follow up action for given dispute case must be filtered by status of case and access level of user,Functionality,NSR
2110,dispute system shall record name of user and date for any activity that creates or modifies dispute case in system detailed history of action taken on case including date and user that performed action must be maintained for auditing purpose,Functionality,NSR
2111,for any systematic nonuser initiated action that occurs on case such dispute aging process case activity will be generated upon next logon user that initiated dispute case must be notified that systematic action ha occurred on dispute case,Functionality,NSR
2112,all letter request must be formatted according to guideline specified by print letter utility system,Functionality,NSR
2113,any dispute case that have been closed for over month must be purged from online dispute database,Functionality,NSR
2114,product must support internet explorer and above,Operational,NSR
2115,product must support mozilla firefox and above,Operational,NSR
2116,product shall interface with choice part system this provides feed of recycled part data,Operational,NSR
2117,product shall run on existing hardware for all environment,Operational,NSR
2118,dispute system must allow user to create three unique type of ticket retrieval request three type of ticket retrieval request are request for original receipt request for copy of receipt or request for portfolio portfolio consists of documentation that would provide proof of purchase such documentation that is received from car rental agency that is more than sale receipt,Functionality,NSR
2119,dispute system will provide user ability to create or initiate ticket retrieval request part of ticket retrieval creation process system must prompt user to enter all required information to create ticket retrieval request ticket retrieval request is document that is sent to merchant inquiring validity of transaction,Functionality,NSR
2120,dispute system must provide user ability to initiate single dispute case on multiple transaction that belong to single merchant,Functionality,NSR
2121,all business rule specified in dispute system shall be in compliance with merchant operating regulation,Legal,NSR
2122,all addition of new user and modification to user access shall be recorded on user report,Confidentiality,NSR
2123,if user account is revoked it can only be reinstantiated by system administrator,Confidentiality,NSR
2124,only system administrator shall be able to reset revoked user logon account,Confidentiality,NSR
2125,dispute application shall manipulate and view business data user will not have direct access to data file or database,Confidentiality,NSR
2126,all update to data file or database must be initiated from dispute system,Confidentiality,NSR
2127,dispute application must conform to legal requirement specified by merchant operating regulation,Legal,NSR
2128,dispute application must conform to legal requirement specified by regulation e and regulation z that govern credit card dispute processing,Legal,NSR
2129,dispute system must allow user to select disputable transaction based on age of transaction from user interface and initiate dispute ticket retrieval request or chargeback notification on selected transaction,Functionality,NSR
2130,all business rule specified in dispute system shall be in compliance to guideline of regulation e and regulation z,Legal,NSR
2131,dispute application must maintain detailed history of every action that user take on dispute case this ensures complete audit trail if question arise later on with regard to particular dispute case,Legal,NSR
2132,all action that modify an existing dispute case must be recorded in case history,Legal,NSR
2133,dispute system must be accessible by both internal and external user,Functionality,NSR
2134,dispute system will facilitate direct data entry of dispute case via user interface that support real time response to user,Functionality,NSR
2135,dispute system must provide different level of access with regard to dispute case initiation and followup action,Functionality,NSR
2136,product shall adhere to corporate architecture guideline,Operational,NSR
2137,product shall comply with corporate color scheme,User-Friendly,NSR
2138,preferred repair facility shall be returned to user,Functionality,NSR
2139,appearance of product shall appear professional,User-Friendly,NSR
2140,only adjuster can request recycled part audit report no user without an adjuster role shall request recycled part audit,Confidentiality,NSR
2141,only adjuster with supervisor role can update preferred repair facility rating user without supervisor role can not access repair facility rating,Confidentiality,NSR
2142,only collision estimator shall search for recycled part user without collision estimator role shall not have access to search for recycled part,Confidentiality,NSR
2143,one insurance company shall not be able to view another insurance company claim data,Confidentiality,NSR
2144,product must comply with sarbanesoxley,Legal,NSR
2145,product shall comply with estimatics law relating to recycled part usage,Legal,NSR
2146,product shall comply with insurance regulation regarding claim processing,Legal,NSR
2147,user shall search for preferred repair facility using vehicle vehicle location and radius in mile,Functionality,NSR
2148,vehicle data shall include vehicle year make and model,Functionality,NSR
2149,vehicle location shall include street address city state and zipcode,Functionality,NSR
2150,system shall resolve zipcode for street address city and state if zipcode is unknown,Functionality,NSR
2151,search radius shall be between and mile,Functionality,NSR
2152,system shall locate preferred repair facility with highest rating for input criterion,Functionality,NSR
2153,adjuster shall enter preferred repair facility on estimate assignment,Functionality,NSR
2154,adjuster shall be able to override preferred repair facitlity on estimate assignment,Functionality,NSR
2155,product installation and upgrade shall be handled by middleware technology team within established launch time frame,Operational,NSR
2156,product shall be supported using corporate support center,Operational,NSR
2157,product shall interface with choiceparts system once per day at approximately am,Operational,NSR
2158,search for preferred repair facility shall take no longer than second preferred repair facility is returned within second,Performance,NSR
2159,product shall be easy to use by adjuster and collision estimator of adjuster and collision estimator shall find product easy to use,Usability,NSR
2160,product shall increase productivity of collision estimator of collision estimator shall agree their productivity ha increase within month of using product,Usability,NSR
2161,user shall feel satisfied using product of all user will be satisfied with product,Usability,NSR
2162,product shall be easy to learn by adjuster and collision estimator product shall be learned with two day onsite training,Usability,NSR
2163,user shall easily locate instruction while using product user help can be found within of system,Usability,NSR
2164,search for recycled part shall take no longer than second search result shall be returned in under second,Performance,NSR
2165,recycled part audit report shall be returned to user within second audit report shall be returned within second,Performance,NSR
2166,for estimator product shall be able to be operated in repair facility during dirty and noisy condition,Operational,NSR
2167,preferred repair facility rating shall be saved within second save shall occur within second,Performance,NSR
2168,product shall adhere to corporate online availability schedule application is brought down only within of scheduled outage per availability schedule,Availability,NSR
2169,product shall achieve uptime product shall not fail more than of available online time,Availability,NSR
2170,product shall be able to handle up to simultaneous user system shall perform with user time,Scalability,NSR
2171,average number of recycled part record per day shall be,Scalability,NSR
2172,product shall be able to handle concurrent user within year of initial launch,Scalability,NSR
2173,it should generate report about registered complaint to admin and response report to user who ha submitted query,Functionality,NSR
2174,system should maintain correct schedule of lab and documentation of all lab equipment,Functionality,NSR
2175,system should use company color and logo,User-Friendly,NSR
2176,system should be very portable due to software application which will be installed on mobile device,Portability,NSR
2177,system software shall take initial load time depending on internet connection strength which also depends on mobile device from which system is run,Performance,NSR
2178,performance shall also depend upon hardware component of device in which system is installed,Performance,NSR
2179,system should be easy to use by user online help facility should be available to help user to perform their online activity,Usability,NSR
2180,system should be able to capture window log file independent from window operating system,Functionality,NSR
2181,system should be able to analyse captured log using visual approach,Functionality,NSR
2182,system should be able to produce an audit report summary to send to user of system,Auditing,NSR
2183,system shall have high throughput which is high rate of processing work and service of user,Performance,NSR
2184,system shall provide availability of audit report to user,Auditing,NSR
2185,system shall offer short data transmission time between target machine and big server,Performance,NSR
2186,system shall provide userfriendly interface that can be used by auditor without any technical challenge,Usability,NSR
2187,systemâs interface will include clear and easy to interpret dashboard that ha all information needed about securely captured log,Usability,NSR
2188,system shall allow log capture to be background process making auditorâs job much easier,Auditing,NSR
2189,system shall allow user to have their own user specific key that is generated by machine and ha been added to list of key for mac generation process,Authentication,NSR
2190,system shall ensure exchange of data is between some target host computer on same network and webbased application software,Functionality,NSR
2191,system shall ensure that originator of log file that are required recognizing data item and data structure that are necessary for exchange,Auditing,NSR
2192,system software shall be based on web and ha to be run from web server that interacts with software installed in mobile device,Performance,NSR
2193,system shall display licence ownerâs profile and vehicle information,IntrusionD,NSR
2194,system shall be interoperable across all platform eg different browser operating system and hardware,Portability,NSR
2195,system shall provide access to sensitive information only to privileged user,Authorization,NSR
2196,system should time out after set period of inactivity,Authentication,NSR
2197,proposed system can perform well in web environment and also with huge file,Performance,NSR
2198,system shall allow multiple client to login and save their file to remote server concurrently,Performance,NSR
2199,system shall be easy to use given that interface action and element are to be consistent,Usability,NSR
2200,system shall ensure that action which can not be undone are to request confirmation before they are effected,Usability,NSR
2201,system shall ensure that way interface operates should not be vague but should be designed so that user can easily run task,Usability,NSR
2202,system shall ensure that interface move swiftly in pace with userâs mouse clicking and having where possible,Performance,NSR
2203,system shall allow user to be directed to option page or back to login page for retrial,Authorization,NSR
2204,system shall allow user input of licence numbernational id numberregistration number,Functionality,NSR
2205,system shall allow user to input licence numbernational id number of driver in system,Functionality,NSR
2206,system shall allow user to capture vehicle registration number using camera,Functionality,NSR
2207,system shall allow user to extract registration number,Functionality,NSR
2208,system shall allow user to query database,Functionality,NSR
2209,system shall display profile of licence owner,Functionality,NSR
2210,system shall be able to close session,Functionality,NSR
2211,system shall allow user to create and load an image,Functionality,NSR
2212,system shall facilitate case management for zrp,Functionality,NSR
2213,system shall enable user to find web history of machine,Functionality,NSR
2214,system shall show log investigator activity,Auditing,NSR
2215,system should be able to carry out each task requested by user quickly possible,Performance,NSR
2216,system should be developed with future upgrade and additional functionality being added to later date,Maintainability,NSR
2217,system should be able to provide data for current maximum number of tag presently two thousand for period of thirty day in whatever format user decides,Maintainability,NSR
2218,system should operate with minimum adequate resource level to ensure that it performs at level acceptable to userâ,Performance,NSR
2219,system shall adhere to hci standard,Usability,NSR
2220,system shall allow every type of file to be entered for analysis,Functionality,NSR
2221,system shall display interface describing operation performed during process,Functionality,NSR
2222,system shall show description of workflow and stage outlined in sequence diagram,Functionality,NSR
2223,system must generate report date time file hash status or other output after file ha been scanned,Functionality,NSR
2224,system shall allow client or administrator to enter data or upload or download file from or into system,Functionality,NSR
2225,system must meet applicable regulatory requirement,Functionality,NSR
2226,system shall offer high response time to give result soon possible,Performance,NSR
2227,system must be scalable,Maintainability,NSR
2228,system must have capacity of nearly infinity user,Performance,NSR
2229,service of system must always be available whenever it is needed,Availability,NSR
2230,software should be easy to use with little training or experience,Usability,NSR
2231,program coding should be well documented and laid out particularly to facilitate future upgrade and additional feature being added at later date,Maintainability,NSR
2232,system should be maintained properly so that it should be able to resolve any data conflict and sustain at any condition,Maintainability,NSR
2233,system shall be accessible through use of web interface and service can be accessed through different platform namely window linux android or mac o to name just but few,Portability,NSR
2234,system make use of stored procedure,Survivability,NSR
2235,system shall be able to perform well in web environment in term of responsiveness and stability under heavy workload,Performance,NSR
2236,system shall be able to adapt to all type of application,Portability,NSR
2237,system shall have higher probability of failurefree operation for specified period of time in specified environment,Performance,NSR
2238,system shall offer ease of use and learnability and shall be userfriendly,Usability,NSR
2239,system shall be based on clientserver architecture hence resource are to be obtained from two difference source at any given point increasing efficiency in resource utilization and also reduction in system bottleneck,Performance,NSR
2240,system shall allow general user to only have access through user interface,Functionality,NSR
2241,data provided by system should be validated and verified were possible,Integrity,NSR
2242,system will have consistent interface format and button set for all form in application,Usability,NSR
2243,system shall have form based interface for all data entry and viewing format and will generate report that are formatted in table and that should look like existing manual report format for use friendliness,Usability,NSR
2244,system shall allow user to access start menu screen,Functionality,NSR
2245,system shall allow user to view paired device at any time,Functionality,NSR
2246,system should be useful to enhance with further technology in future to improve it feature compared to existing system,Usability,NSR
2247,system should be able to perform in all independent path that all logical condition are satisfied,Portability,NSR
2248,system should have very fast response time to userâs action,Performance,NSR
2249,manner in which system function should be easy and direct for user of system,Usability,NSR
2250,information entered is only altered by user upon authentication being done to verify,Integrity,NSR
2251,system shall allow that performance of application in term of throughput response time be checked at different interval after deployment by customer support team,Performance,NSR
2252,system shall only use multithreading sparingly in order to increase performance system without slowing down lower end hardware,Performance,NSR
2253,system shall be user friendly with very small learning curve,Usability,NSR
2254,systemâs intuitive design of interface will make operating software easy and quick,Usability,NSR
2255,system shall provide detailed manual of use in case learning curve prof too steep for some user,Usability,NSR
2256,system shall be deployable across any system with correct version of python and it corresponding dependent nonstandard library but easier if packaged using fladesk,Portability,NSR
2257,system shall be maintainable by enforcing modularity which make system component loosely coupled such that they can be modified independently and then reintegrated into system,Maintainability,NSR
2258,system shall maintain strict documentation including comment in source code so to make code easy to modify and debugging,Maintainability,NSR
2259,system shall analyse tcp http and tl web traffic to detect network connection to known cryptocurrency mining pool or service provider such btccom and coinhivecom,IntrusionD,NSR
2260,system should not consume significantly high cpu resource,Performance,NSR
2261,system should perform with minimal cpu overhead,Performance,NSR
2262,system should be easy to use even by general user with userfriendly interface,Usability,NSR
2263,it should be easy to learn and understand how to effectively use system,Usability,NSR
2264,system shall capture userâs keyboard typing pattern and mouse movement pattern during registration,Functionality,NSR
2265,system shall enable unique feature to be extracted using datasets,Functionality,NSR
2266,system shall learn userâs unique pattern using naã¯ve bayes algorithm and store template in database,Functionality,NSR
2267,system shall have moderate to high performance owing to limited resource use by using programmer initiated garbage collection for case where compiler might produce inefficient code,Performance,NSR
2268,system shall retain video log that only have motion,Auditing,NSR
2269,system shall monitor motion through camera,Functionality,NSR
2270,system shall comply with antimoney laundering guideline of zimbabwe,Functionality,NSR
2271,system shall provide web of trust reputation statistic,Functionality,NSR
2272,system shall capture and store all transaction,Functionality,NSR
2273,system shall manage user profile,Functionality,NSR
2274,system shall enable bitcoin transaction processing,Functionality,NSR
2275,system shall be able to sync with other exchange platform for exchange price,Functionality,NSR
2276,system shall ensure that interaction between user and application ha minimum lag time,Performance,NSR
2277,system shall be easy to use and user friendly,Usability,NSR
2278,system shall be easily transferred to another environment with install ability,Portability,NSR
2279,new exchange interface should be easily integrated into already existing system without modifying core functionality of product software,Maintainability,NSR
2280,system shall allow member to spontaneously form group of n signer using group public key which associate group member,Functionality,NSR
2281,system shall allow user to sign document on behalf of group using secret key,Integrity,NSR
2282,system shall be able to perform well in web environment,Performance,NSR
2283,system shall adapt to all type of application,Portability,NSR
2284,system shall be easy to use and user friendly,Usability,NSR
2285,system shall allow that feature be extracted when user log in and similarity match done to check authenticity of user and if match is successful user will be granted access and access will be denied in event of mismatch,Authentication,NSR
2286,system shall allow for operation at all time,Availability,NSR
2287,proposed systemâ logistics are easily accessed hence it availability is guaranteed when and required,Availability,NSR
2288,system shall ensure that downtime of internet will not affect it availability any user can still be granted or denied access to system,Availability,NSR
2289,system shall offer short time for data transmission between social network site and selenium,Performance,NSR
2290,system shall have high usability through an easy to use gui in which user will only enter search query since selenium will be communicating with social medium site,Usability,NSR
2291,system shall have small learning curve for user to get accustomed to application,Usability,NSR
2292,system shall make it easy to trace an individualâs activity after crime ha taken place,Auditing,NSR
2293,system shall access profile from which pii is scraped and displayed on graphical user interface,Functionality,NSR
2294,system should be able to generate ussd code for transaction,Functionality,NSR
2295,system should be able to send message to target number,Functionality,NSR
2296,system should comply with law governing technology to be used,Functionality,NSR
2297,system should be able to terminate transaction after ninety second of no response,Functionality,NSR
2298,system shall allow user to have functional account on enterprise application,Functionality,NSR
2299,classification algorithm should be applied to determine probability of claim being fraudulent,Functionality,NSR
2300,system should flag claim whose score exceeds threshold,Functionality,NSR
2301,system shall be accessible to user via http web portal,Confidentiality,NSR
2302,system should allow user to download report,Functionality,NSR
2303,system shall be able to function desired all time,Availability,NSR
2304,system shall provide access whenever user need to check publicly available record of an individual they should be able to do so since social medium detail are always available,Availability,NSR
2305,system shall have high rate of processing of work and service of user this mean if personâs detail are requested request should be processed and result displayed without much delay,Performance,NSR
2306,system shall be designed to have short response time to opening web application requesting user detail and uploading personally identifiable information onto profile,Performance,NSR
2307,system shall be able to create report from activity in system,Functionality,NSR
2308,system shall be easy to maintain since application ha clear separation of it database and logic code from system in which it will be applied to therefore it will be easy to sandbox proposed system and maintain it without affecting whole system,Maintainability,NSR
2309,system shall be maintained through frequent update,Maintainability,NSR
2310,system shall keep log for every operation made by user for audit trailing commitment,Auditing,NSR
2311,system shall give an update of balance left after every toll deduction by sm reporting,Functionality,NSR
2312,system shall allow adding of new user and updating current one,Functionality,NSR
2313,system shall be able to show all business unit that are registered afore user make selection,Functionality,NSR
2314,system shall allow for tolling sm to be sent with latency of not more than an hour from such an action,Performance,NSR
2315,system shall display personally identifiable information on graphical user interface,Functionality,NSR
2316,system shall allow user to access data or resource in an indicated location and in right format at all time,Performance,NSR
2317,system shall be portable and easy to relocate from one computer environment to another,Portability,NSR
2318,system shall allow entering name of individual whose detail and pii are to be searched,Functionality,NSR
2319,system shall allow web application access to social site public profile,Functionality,NSR
2320,system shall allow selenium scraping an individualâs personally identifiable information,Functionality,NSR
2321,system shall allow extraction of personally identifiable information,Functionality,NSR
2322,system shall allow every history of scan to be recoverable in case of system interrupt,Auditing,NSR
2323,system shall allow easy storage retrieval and manipulation of data,Functionality,NSR
2324,system shall be able to display menu at all time to facilitate manual order taking should need arise,User-Friendly,NSR
2325,system should be able to match rfid cardtag id with userâs faceperson id to make for access to be granted,Authentication,NSR
2326,system shall provide high speed of searching comparing and matching captured image with one in data base determined by algorithm used,Performance,NSR
2327,system should be designed having psychology and physiology of user in min,Usability,NSR
2328,system shall be efficient and effective to use and task shall be accomplished on time,Performance,NSR
2329,system shall be easier to understand and learn how system actually work,Usability,NSR
2330,system will ensure that user have good experience of using it well their ability to quickly navigate selfexplanation design of system,Usability,NSR
2331,system shall be able to allow logging of each user activity,Auditing,NSR
2332,proposed system will allow only registered user to be granted access into some restricted zone within organization,Authorization,NSR
2333,system module are designed so that they can communicate with each other it applies to hardware software interface that will between user and machine,Functionality,NSR
2334,system user interface should be designed to make interaction between user and machine simple,Usability,NSR
2335,system shall allow user to interact with rfid and facial recognitionbasedaccess control system,Functionality,NSR
2336,system must be able to deal with network threat on computer it would be installed on,IntrusionD,NSR
2337,when packet come in through nic system should be able to detect traffic out of norm,IntrusionD,NSR
2338,classifier algorithm in place must be able to classify data according to it attribute and how they can learnt,Functionality,NSR
2339,system shall be able to learn normal v anomalous pattern,Performance,NSR
2340,system shall monitor and scan host,Functionality,NSR
2341,system should be able to reject access to person who present tag that belongs to someone else in high probability,Authentication,NSR
2342,system should utilize centralized database,Functionality,NSR
2343,system offer an easy to understand interface henceforth people of different age group can use system picture and simple choice of word are used in system,Usability,NSR
2344,system should be able to log all activity taking place on system for audit trial purpose,Auditing,NSR
2345,system should generate road map from rrt to patient and then to nearest hospital,Functionality,NSR
2346,system shall be able to provide help in short period of time,Performance,NSR
2347,system shall ensure that in event of crisis patient is only required to press power button three time thereby simplifying how patient interacts with system,Usability,NSR
2348,interface of system on em administrator side will be well articulated so that even individual with low level of computer literacy will be able to use system,Usability,NSR
2349,system shall ensure that exchange of data is between mobile and webbased application software human and combination of these,Functionality,NSR
2350,system data well integrated with webbased application in seamless manner since both system use same database for sharing data,Functionality,NSR
2351,system shall be able to locate and monitor vehicle using gps,Functionality,NSR
2352,system shall be able to locate an examiner during road test,Functionality,NSR
2353,system shall be able to allocate an examiner route to use once finish testing learner driver in yard,Functionality,NSR
2354,system shall be able to enter new applicant into system database,Functionality,NSR
2355,system shall be able to allocate examination time for applicant,Functionality,NSR
2356,system shall ensure that for generation of report system report will be generated in least possible time,Performance,NSR
2357,system shall be able to ensure that number of registered vehicle should not affect performance of system,Performance,NSR
2358,system shall ensure that not much time is spent on loading web page,Performance,NSR
2359,system ensures software quality attribute reliability efficiency userfriendliness flexibility,Usability,NSR
2360,system shall be able to maintain it performance over time,Performance,NSR
2361,system shall allow user to quit program after it ha started,Functionality,NSR
2362,system shall allow user to access start menu screen,Functionality,NSR
2363,system should be useful to enhance with further technology in future to improve it feature compared to existing system,Usability,NSR
2364,system ha clearly defined link and button that show various functionality that user may require,Usability,NSR
2365,system interface support efficiency of use,Performance,NSR
2366,system shall allow uploading or viewing message,Functionality,NSR
2367,system should have clear presentation of element and it must also be interactive and provides help information to help client and give them guidance on how to use system,Usability,NSR
2368,system shall be able to allow process of filtering email to be executed in fast manner since classifier is only focused on text within mail,Performance,NSR
2369,system shall be able to ensure performance of classifier is determined by bandwidth of receiver but classifier take no time in processing text content of email,Performance,NSR
2370,system shall be able to ensure performance of classifier is determined by time taken to correctly classify email and time taken to classify,Performance,NSR
2371,system will deliver email whenever there is internet connection to receive email with minimal downtime,Availability,NSR
2372,system will operate round clock,Availability,NSR
2373,system shall be able to ensure user access control will be put in place to restrict unauthorized user to access user account,Authorization,NSR
2374,system can be implemented on any mail server with only few configuration taking place to suit framework used on developing mail server,Portability,NSR
2375,system will have homepage which will be responsible for redirecting user to desired page this can be login page where user will login to email account or registration page where user creates an email account,Functionality,NSR
2376,system shall have registration page to capture and verify detail of new user to see if provided information conforms to requirement of system,Functionality,NSR
2377,system shall provide supervisor with ad hoc report for decision makingâ,Functionality,NSR
2378,system should be easy to maintain and it should be modifiable,Maintainability,NSR
2379,system is easy to use and it is user friendly it is based and implemented on website and ha an interactive interface,Usability,NSR
2380,system can perform well in web environment and it can also allow multiple client to login and communicate at same time,Performance,NSR
2381,system shall allow user to embed encrypted message and retrieve encrypted message from image using lb technique,Confidentiality,NSR
2382,system should be developed with future upgrade and additional functionality being added at later date,Maintainability,NSR
2383,system should be able to perform in all independent path that all logical condition are satisfied,Portability,NSR
2384,data provided by system should be validated and verified were possible,Immunity,NSR
2385,system should be maintained properly so that it should be able to resolve any data conflict and sustain at any condition,Maintainability,NSR
2386,program coding should be well documented and laid out particularly to facilitate future upgrade and additional functionality being added at later date,Maintainability,NSR
2387,software should be easy to use with little training or experience,Usability,NSR
2388,system should be able to carry out each task requested by user quickly possible,Performance,NSR
2389,system should be able to provide data for current maximum number of tag presently two thousand for period of thirty day in whatever format user decides,Availability,NSR
2390,system shall allow user to encryptdecrypt message using aes algorithm,Confidentiality,NSR
2391,system should operate with minimum adequate resource level to that ensure it performs at level acceptable to user,Performance,NSR
2392,system shall load datasets and preprocess them through tokenization and lemmatization,Functionality,NSR
2393,system shall not support reverse engineering of it source code,Immunity,NSR
2394,system is deployed an application on user machine thus it is costeffective to maintain it doe not have many module and online documentation including system documentation and test documentation for easy user acclimatization,Maintainability,NSR
2395,system is designed to be cross platform supportable system can be used on wide range of hardware and any software platform window and linux,Portability,NSR
2396,system shall allow administrator to register and create user account system shall capture user detail like username email address phone number etc,Functionality,NSR
2397,system shall be able to validate input,Immunity,NSR
2398,system shall be able to allow user to register and sign in for blood recipient,Authorization,NSR
2399,system shall enable that when request is made by doctorhospital session is opened and confirmation key is generated and sent to doctorpatient via email which they then will use after receiving correct requested blood,Functionality,NSR
2400,system shall have extraction module that will be able to take out information from image that ha been created,Functionality,NSR
2401,system shall allow approved certified health provider to append information into encrypted central server,Authorization,NSR
2402,system shall allow health care provider to access system through screen based software application,Functionality,NSR
2403,system shall allow individual facility server to remain unaffected when central server fails,Survivability,NSR
2404,system shall ensure that central server remain unaffected when institute system fails,Survivability,NSR
2405,system shall allow for access level to be implemented on patient information,Authorization,NSR
2406,system shall provide audit trail when required,Auditing,NSR
2407,system should be able to sniff traffic to and from network in real timeâ,IntrusionD,NSR
2408,system should be able to provide visualization in term of graph,Functionality,NSR
2409,system should be able to monitor network in real time,Functionality,NSR
2410,system shall be developed in python and java language making program portable ie platform independent system is easy to transfer from one hardware andor software system environment to another,Portability,NSR
2411,system will reduce amount of time in which similar system take in processing data,Performance,NSR
2412,user interface includes gui graphic user interface which contains all basic plug in that constitute basic function of program,Usability,NSR
2413,system shall have log in screen to allow network administrator to log into system,Authentication,NSR
2414,system shall have working environment which is main screen which will allow user to monitor network,Functionality,NSR
2415,systemâs main screen will also contain tab for help and static analysis of network,Usability,NSR
2416,system shall provide common api for health information system to update and read record,Functionality,NSR
2417,system shall maintain full patient medical record in an encrypted format on server,Confidentiality,NSR
2418,system should allow certified medical facility to access critical patient information needed,Authorization,NSR
2419,system shall apply mechanism to establish proof of identity to verify who particular user is,Authentication,NSR
2420,system offer quick retrieval of information,Performance,NSR
2421,technical constraint â system should be easy to use for user we may not see them but they will use system without training,Usability,NSR
2422,system survives under it boundary which also set limit to it operation and limit make up restriction,Survivability,NSR
2423,system component shall be expandable,Maintainability,NSR
2424,system shall allow user to be able to retrieve information from database,Functionality,NSR
2425,system shall use bluetooth wireless technology for transmission of data among two device in close proximity of each other,Functionality,NSR
2426,system shall provide bluetooth authentication so that user do not need to disable laptop authentication they have to frequently unlock laptop during office working hour,Authentication,NSR
2427,system should allow user to store critical information such allergy and condition on central server,Functionality,NSR
2428,system shall allow user to use bluetooth to enable smartphone that communicates with laptop over shortrange wireless link,Functionality,NSR
2429,system shall allow pairing of smartphone with laptop,Functionality,NSR
2430,system shall offer userfriendly ui for easy interfacing so that le literate patient can also use it and button are clearly labeled large enough and visible usability,Usability,NSR
